epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4725.76,0.70704,0.48427,0.99692,0.94929,0.89407,0.95771,0.8235,0.58284,0.36936,0.91453,0.00898525,0.00898525,0.00898525
43,4818.51,0.71001,0.48315,0.9924,0.94456,0.88965,0.95669,0.82288,0.58336,0.37732,0.9137,0.0089605,0.0089605,0.0089605
44,4911.47,0.70592,0.48432,0.99604,0.9518,0.89431,0.95698,0.82503,0.59018,0.36972,0.91464,0.00893575,0.00893575,0.00893575
45,5005.13,0.69375,0.4819,0.99606,0.94992,0.88974,0.95769,0.82814,0.5781,0.36327,0.91319,0.008911,0.008911,0.008911
46,5098.94,0.69134,0.4747,0.98961,0.9461,0.89493,0.95911,0.82831,0.58365,0.36513,0.9143,0.00888625,0.00888625,0.00888625
47,5220.15,0.68852,0.47267,0.9872,0.94131,0.90089,0.9594,0.82731,0.57666,0.36307,0.91108,0.0088615,0.0088615,0.0088615
48,5390.33,0.70444,0.48028,0.99593,0.94772,0.88767,0.95719,0.826,0.58796,0.368,0.91634,0.00883675,0.00883675,0.00883675
49,5554.3,0.69662,0.47328,0.98922,0.94612,0.89697,0.95867,0.82913,0.57838,0.35887,0.91004,0.008812,0.008812,0.008812
50,5689.54,0.68958,0.46779,0.98854,0.94835,0.90096,0.9609,0.82978,0.57503,0.35635,0.91266,0.00878725,0.00878725,0.00878725
51,5781.91,0.68862,0.46766,0.98821,0.9492,0.89483,0.96053,0.83209,0.56451,0.35465,0.90849,0.0087625,0.0087625,0.0087625
52,5874.57,0.6753,0.46164,0.98324,0.94701,0.89795,0.96062,0.83181,0.56642,0.35227,0.90718,0.00873775,0.00873775,0.00873775
53,5967.36,0.68233,0.46397,0.98573,0.94994,0.89633,0.9601,0.83058,0.5686,0.35253,0.90864,0.008713,0.008713,0.008713
54,6063.22,0.68024,0.46126,0.98344,0.94859,0.89909,0.95953,0.8331,0.55957,0.35213,0.90775,0.00868825,0.00868825,0.00868825
55,6180.14,0.69774,0.472,0.99649,0.95325,0.89961,0.96138,0.83472,0.56414,0.35081,0.90451,0.0086635,0.0086635,0.0086635
56,6344.41,0.67295,0.45655,0.98114,0.9426,0.90532,0.96117,0.83812,0.55148,0.34895,0.90373,0.00863875,0.00863875,0.00863875
57,6499.55,0.66756,0.45335,0.97872,0.94904,0.90284,0.96057,0.83916,0.55055,0.33972,0.90445,0.008614,0.008614,0.008614
58,6651.36,0.67489,0.45504,0.98237,0.95428,0.90106,0.96133,0.83687,0.55961,0.34494,0.90717,0.00858925,0.00858925,0.00858925
59,6744.71,0.67539,0.45926,0.98615,0.95208,0.90127,0.96109,0.83751,0.55089,0.34065,0.90436,0.0085645,0.0085645,0.0085645
60,6838.56,0.67021,0.45416,0.98322,0.95372,0.89794,0.96216,0.8403,0.54926,0.34109,0.90356,0.00853975,0.00853975,0.00853975
61,6932.78,0.68722,0.46318,0.98571,0.95586,0.89701,0.96234,0.84114,0.54748,0.33589,0.90119,0.008515,0.008515,0.008515
62,7027.66,0.65727,0.44703,0.97672,0.94846,0.89919,0.96314,0.84006,0.55111,0.33882,0.90358,0.00849025,0.00849025,0.00849025
63,7122.78,0.65931,0.44608,0.97488,0.95063,0.89556,0.95943,0.8369,0.54371,0.34022,0.90137,0.0084655,0.0084655,0.0084655
64,7271.11,0.6626,0.44843,0.97858,0.9561,0.90453,0.96221,0.83691,0.54964,0.33819,0.90114,0.00844075,0.00844075,0.00844075
65,7426.05,0.6612,0.44419,0.9764,0.9512,0.90662,0.96403,0.84123,0.54625,0.33359,0.90271,0.008416,0.008416,0.008416
66,7570.05,0.66111,0.44697,0.97968,0.95105,0.90885,0.96395,0.84176,0.54617,0.32938,0.90407,0.00839125,0.00839125,0.00839125
67,7664.76,0.65087,0.44114,0.9739,0.95195,0.9009,0.9617,0.84244,0.54007,0.32919,0.90316,0.0083665,0.0083665,0.0083665
68,7757.42,0.66181,0.44695,0.97809,0.95391,0.90455,0.96304,0.84115,0.54054,0.33153,0.90071,0.00834175,0.00834175,0.00834175
69,7850.1,0.65761,0.44347,0.97752,0.95235,0.90263,0.96227,0.84389,0.53743,0.328,0.89903,0.008317,0.008317,0.008317
70,7943.21,0.64834,0.43628,0.97276,0.95071,0.90911,0.96331,0.84419,0.53755,0.3258,0.90081,0.00829225,0.00829225,0.00829225
71,8036.3,0.64417,0.43483,0.97025,0.95136,0.90356,0.96289,0.84466,0.53505,0.33027,0.89776,0.0082675,0.0082675,0.0082675
72,8151.62,0.65481,0.44037,0.97735,0.95503,0.90314,0.96427,0.84525,0.53128,0.32521,0.89856,0.00824275,0.00824275,0.00824275
73,8308.74,0.63764,0.42853,0.96863,0.95365,0.90776,0.96467,0.84521,0.52727,0.32734,0.89752,0.008218,0.008218,0.008218
74,8462.18,0.66052,0.44104,0.97732,0.94939,0.90988,0.96378,0.84339,0.53311,0.32386,0.89921,0.00819325,0.00819325,0.00819325
75,8587.58,0.64785,0.43483,0.9751,0.94897,0.91121,0.96455,0.84508,0.5335,0.32218,0.89851,0.0081685,0.0081685,0.0081685
76,8680.7,0.64174,0.43492,0.96952,0.95128,0.90618,0.96269,0.84556,0.52857,0.32223,0.89482,0.00814375,0.00814375,0.00814375
77,8774.51,0.64473,0.43142,0.97197,0.9529,0.90417,0.96367,0.84638,0.52325,0.31848,0.89527,0.008119,0.008119,0.008119
78,8868.26,0.64189,0.43183,0.96919,0.95833,0.89961,0.96263,0.84478,0.53349,0.32297,0.89766,0.00809425,0.00809425,0.00809425
79,8962.29,0.64701,0.42997,0.97271,0.95599,0.89981,0.96324,0.84636,0.5278,0.31894,0.89262,0.0080695,0.0080695,0.0080695
80,9056.29,0.63184,0.4217,0.96363,0.95496,0.90247,0.96428,0.84722,0.52362,0.31705,0.8941,0.00804475,0.00804475,0.00804475
81,9150.16,0.63945,0.42845,0.96848,0.95244,0.90417,0.96358,0.84705,0.51873,0.32132,0.8928,0.00802,0.00802,0.00802
82,9305.19,0.6315,0.42329,0.96697,0.95371,0.90918,0.96469,0.85082,0.51558,0.31611,0.89193,0.00799525,0.00799525,0.00799525
83,9495.73,0.63322,0.42554,0.96573,0.95409,0.90609,0.96444,0.84998,0.51998,0.31932,0.89507,0.0079705,0.0079705,0.0079705
84,9635.71,0.64174,0.42519,0.97166,0.95262,0.90583,0.96365,0.84909,0.52431,0.31594,0.8957,0.00794575,0.00794575,0.00794575
85,9729.64,0.63468,0.42635,0.96606,0.95159,0.90781,0.96432,0.85019,0.51877,0.31392,0.89526,0.007921,0.007921,0.007921
86,9822.84,0.62805,0.41944,0.96411,0.95635,0.90417,0.96712,0.84919,0.51863,0.31327,0.8943,0.00789625,0.00789625,0.00789625
87,113.81,0.60395,0.40426,0.95244,0.95254,0.91061,0.96618,0.85138,0.51407,0.30904,0.89004,0.0078715,0.0078715,0.0078715
88,206.262,0.63529,0.42307,0.96768,0.95847,0.90812,0.96653,0.85054,0.51494,0.31125,0.89153,0.00784675,0.00784675,0.00784675
89,299.314,0.62748,0.42123,0.96349,0.95417,0.90885,0.96588,0.85123,0.5155,0.31112,0.89307,0.007822,0.007822,0.007822
90,392.123,0.62811,0.4188,0.96602,0.9557,0.90936,0.96512,0.85135,0.51445,0.30732,0.89177,0.00779725,0.00779725,0.00779725
91,486.27,0.63131,0.41865,0.96451,0.95191,0.91243,0.96388,0.84808,0.51957,0.30753,0.89368,0.0077725,0.0077725,0.0077725
92,579.573,0.62841,0.41907,0.96634,0.94712,0.9131,0.96588,0.84904,0.51672,0.30701,0.89193,0.00774775,0.00774775,0.00774775
93,697.667,0.61704,0.41348,0.96091,0.94859,0.91144,0.96533,0.84945,0.51596,0.31263,0.89363,0.007723,0.007723,0.007723
94,791.822,0.61052,0.40984,0.9599,0.95279,0.90739,0.9651,0.85068,0.51531,0.30859,0.89556,0.00769825,0.00769825,0.00769825
95,890.946,0.62821,0.41531,0.96493,0.95289,0.90936,0.96491,0.85128,0.51188,0.30442,0.8923,0.0076735,0.0076735,0.0076735
96,1085.26,0.62274,0.41399,0.96296,0.95049,0.90812,0.96485,0.85077,0.51335,0.30554,0.89294,0.00764875,0.00764875,0.00764875
97,1212.42,0.60131,0.40312,0.95336,0.95085,0.90995,0.96449,0.84996,0.51103,0.30508,0.89217,0.007624,0.007624,0.007624
98,1304.93,0.61674,0.40992,0.9607,0.95252,0.91018,0.96449,0.85053,0.51373,0.30504,0.89409,0.00759925,0.00759925,0.00759925
99,1398.24,0.61853,0.41008,0.9634,0.95067,0.91051,0.96469,0.85166,0.51068,0.30591,0.89076,0.0075745,0.0075745,0.0075745
100,1491.88,0.60829,0.40699,0.95549,0.95283,0.90801,0.96511,0.8522,0.50954,0.3046,0.89099,0.00754975,0.00754975,0.00754975
101,1585.24,0.61347,0.40669,0.95815,0.95344,0.90775,0.96505,0.85215,0.50584,0.30154,0.88952,0.007525,0.007525,0.007525
102,1678.63,0.61399,0.40812,0.95704,0.95255,0.90926,0.96473,0.852,0.50514,0.30025,0.88895,0.00750025,0.00750025,0.00750025
103,1782.78,0.61462,0.40807,0.95865,0.9518,0.9075,0.96394,0.85245,0.50551,0.30229,0.88935,0.0074755,0.0074755,0.0074755
104,1938.02,0.6125,0.40565,0.95987,0.95177,0.90759,0.96463,0.85209,0.50576,0.30375,0.89101,0.00745075,0.00745075,0.00745075
105,2087.41,0.61878,0.40489,0.95992,0.9518,0.91144,0.96438,0.8528,0.50549,0.30067,0.89049,0.007426,0.007426,0.007426
106,2179.36,0.6055,0.40263,0.95687,0.95065,0.91002,0.96441,0.85311,0.50489,0.30032,0.88953,0.00740125,0.00740125,0.00740125
107,2271.62,0.61642,0.40674,0.96075,0.94897,0.91136,0.96421,0.85404,0.50539,0.30054,0.89016,0.0073765,0.0073765,0.0073765
108,2364.15,0.61476,0.40127,0.95649,0.95281,0.91195,0.96468,0.85435,0.50829,0.2995,0.89094,0.00735175,0.00735175,0.00735175
109,2456.5,0.60549,0.40185,0.95727,0.95137,0.912,0.96489,0.85483,0.50102,0.30115,0.88892,0.007327,0.007327,0.007327
110,2549.18,0.60807,0.40155,0.95618,0.95305,0.9104,0.96516,0.85406,0.50202,0.30065,0.88916,0.00730225,0.00730225,0.00730225
111,2642.77,0.61138,0.40243,0.95966,0.95138,0.91393,0.96499,0.85379,0.503,0.2981,0.88801,0.0072775,0.0072775,0.0072775
112,2786.5,0.60588,0.4008,0.95323,0.95157,0.91082,0.96526,0.8543,0.501,0.29635,0.8874,0.00725275,0.00725275,0.00725275
113,2969.56,0.60311,0.39887,0.95454,0.95242,0.91023,0.96497,0.85405,0.50021,0.29607,0.88799,0.007228,0.007228,0.007228
114,3117.26,0.60738,0.39884,0.95654,0.95223,0.91269,0.9649,0.85508,0.50116,0.29772,0.88926,0.00720325,0.00720325,0.00720325
115,3210.37,0.60579,0.39722,0.95385,0.95066,0.91196,0.96472,0.85399,0.50042,0.29834,0.88818,0.0071785,0.0071785,0.0071785
116,3302.67,0.59815,0.3971,0.95092,0.94724,0.91476,0.96623,0.85497,0.49728,0.29679,0.8886,0.00715375,0.00715375,0.00715375
117,3395.91,0.60749,0.4044,0.95762,0.95007,0.91518,0.96601,0.85593,0.49525,0.29627,0.88761,0.007129,0.007129,0.007129
118,3488.85,0.60954,0.40211,0.95854,0.94995,0.91289,0.96587,0.85619,0.49739,0.29694,0.88894,0.00710425,0.00710425,0.00710425
119,3582.63,0.6009,0.39522,0.95222,0.95346,0.91238,0.96574,0.85527,0.49936,0.29653,0.88894,0.0070795,0.0070795,0.0070795
120,3735.56,0.59248,0.39146,0.95205,0.95316,0.91393,0.96628,0.85573,0.50069,0.29667,0.88926,0.00705475,0.00705475,0.00705475
121,3888.4,0.59563,0.39426,0.95255,0.95104,0.91445,0.96589,0.85548,0.49976,0.29527,0.88922,0.00703,0.00703,0.00703
122,4001.21,0.60745,0.39714,0.95361,0.95287,0.91314,0.96534,0.85592,0.50009,0.29493,0.88936,0.00700525,0.00700525,0.00700525
123,4093.96,0.58642,0.38803,0.94627,0.95007,0.91705,0.96595,0.85645,0.49969,0.29301,0.88848,0.0069805,0.0069805,0.0069805
124,4187.37,0.60449,0.39787,0.95678,0.95198,0.91593,0.96547,0.85562,0.49916,0.29151,0.88906,0.00695575,0.00695575,0.00695575
125,4282.27,0.59768,0.39537,0.95467,0.95016,0.91611,0.96563,0.85588,0.49957,0.29121,0.88853,0.006931,0.006931,0.006931
126,4375.35,0.59558,0.38959,0.95101,0.95144,0.91537,0.96574,0.85553,0.49783,0.29107,0.88716,0.00690625,0.00690625,0.00690625
127,4468.66,0.58682,0.38626,0.94821,0.95153,0.91487,0.96578,0.8564,0.49579,0.29017,0.88705,0.0068815,0.0068815,0.0068815
128,4581.11,0.59001,0.38582,0.95125,0.95328,0.91321,0.96594,0.85681,0.49579,0.29063,0.88729,0.00685675,0.00685675,0.00685675
129,4737.46,0.59582,0.38975,0.94866,0.95258,0.91352,0.96582,0.85781,0.49432,0.29039,0.8873,0.006832,0.006832,0.006832
130,4880.69,0.59352,0.38884,0.95208,0.95074,0.91632,0.96615,0.85815,0.49323,0.28862,0.88696,0.00680725,0.00680725,0.00680725
131,4973.93,0.58756,0.39131,0.95337,0.95036,0.91601,0.96614,0.85845,0.49229,0.28759,0.88624,0.0067825,0.0067825,0.0067825
132,5066.85,0.58107,0.38454,0.94529,0.95044,0.91632,0.96611,0.85865,0.49238,0.28725,0.88664,0.00675775,0.00675775,0.00675775
133,5159.39,0.58772,0.38457,0.94574,0.95188,0.91414,0.96674,0.85846,0.49213,0.28573,0.88629,0.006733,0.006733,0.006733
134,5251.99,0.59958,0.39273,0.95343,0.95183,0.91196,0.96653,0.85805,0.49264,0.2858,0.88616,0.00670825,0.00670825,0.00670825
135,5344.73,0.59438,0.38715,0.94912,0.95257,0.91258,0.9666,0.8582,0.49309,0.28683,0.88613,0.0066835,0.0066835,0.0066835
136,5437.69,0.58712,0.38406,0.94751,0.95366,0.9131,0.96643,0.85816,0.49345,0.28826,0.88651,0.00665875,0.00665875,0.00665875
137,5586.06,0.58821,0.38401,0.94706,0.95119,0.9158,0.96637,0.85809,0.49372,0.28751,0.88619,0.006634,0.006634,0.006634
138,5739.47,0.57891,0.38112,0.94376,0.94998,0.9158,0.96601,0.85791,0.49364,0.28738,0.88632,0.00660925,0.00660925,0.00660925
139,5848.66,0.58738,0.38228,0.94671,0.95143,0.91511,0.96581,0.85801,0.49292,0.28667,0.88661,0.0065845,0.0065845,0.0065845
140,5942.46,0.58423,0.3814,0.94506,0.94969,0.91525,0.96568,0.85831,0.49135,0.28685,0.88598,0.00655975,0.00655975,0.00655975
